Timestamp                       Thread     Type        Activity             PID    TTL  
2026-07-09 00:07:36.744653-0700 0xef3e3b5  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:07:36.756221-0700 0xef3e3b5  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:07:36.756228-0700 0xef3e3b5  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:07:46.793518-0700 0xef26b67  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:07:46.800282-0700 0xef26b67  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:07:46.800287-0700 0xef26b67  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:13:23.331501-0700 0xef7e676  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:13:23.341817-0700 0xef7e676  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:13:23.341823-0700 0xef7e676  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:13:31.277556-0700 0xef7e676  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:13:31.291226-0700 0xef7e676  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:13:31.291237-0700 0xef7e676  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
