ts,load1,http,secs
1787418421,9.66,200,20.947788
1787418421,8.75,200,0.001312
1787418422,8.75,200,0.001456
1787418423,8.75,200,0.001226
1787418424,8.75,200,0.172825
1787418424,9.58,200,0.002877
1787418425,9.58,200,0.002002
1787418426,9.58,200,0.117633
1787418426,9.58,200,0.001827
1787418427,9.58,200,0.001144
1787418428,9.58,200,0.001450
1787418428,9.58,200,0.001346
1787418430,10.25,200,1.259831
1787418431,10.25,200,0.003087
1787418431,10.25,200,0.001454
1787418432,10.25,200,0.001390
1787418433,10.25,200,0.002102
1787418433,10.25,200,0.001339
1787418434,10.95,200,0.001669
1787418435,10.95,200,0.001009
1787418435,10.95,200,0.164198
1787418436,10.95,200,0.002863
1787418437,10.95,200,0.017728
1787418437,10.95,200,0.001604
1787418438,10.95,200,0.001580
1787418439,11.03,200,0.017513
1787418439,11.03,200,0.001568
1787418440,11.03,200,0.002022
1787418441,11.03,200,0.032502
1787418441,11.03,200,0.001751
1787418442,11.03,200,0.000995
1787418443,11.03,200,0.001626
1787418443,11.03,200,0.000933
1787418444,11.11,200,0.000951
1787418445,11.11,200,0.001635
1787418445,11.11,200,0.029632
1787418446,11.11,200,0.003610
1787418447,11.11,200,0.030411
1787418447,11.11,200,0.062092
1787418448,11.11,200,0.001752
1787418449,10.70,200,0.002658
1787418449,10.70,200,0.043639
1787418450,10.70,200,0.002495
1787418451,10.70,200,0.002475
1787418451,10.70,200,0.014618
1787418452,10.70,200,0.020315
1787418453,10.70,200,0.000987
1787418453,10.70,200,0.001676
1787418454,10.48,200,0.001623
1787418455,10.48,200,0.001527
1787418455,10.48,200,0.019582
1787418456,10.48,200,0.148936
1787418457,10.48,200,0.001527
1787418457,10.48,200,0.000939
1787418458,10.48,200,0.001557
1787418459,9.97,200,0.003662
1787418459,9.97,200,0.026957
1787418462,9.97,200,1.563352
1787418462,9.97,200,0.046941
1787418463,9.97,200,0.001554
1787418464,11.17,200,0.001754
1787418464,11.17,200,0.001256
1787418465,11.17,200,0.000873
1787418466,11.17,200,0.065116
1787418466,11.17,200,0.001876
1787418467,11.17,200,0.002397
1787418468,11.17,200,0.000806
1787418468,11.17,200,0.017966
1787418469,10.43,200,0.003104
1787418469,10.43,200,0.074419
1787418470,10.43,200,0.002847
1787418471,10.43,200,0.001606
1787418472,10.43,200,0.046160
1787418472,10.43,200,0.002358
1787418473,10.43,200,0.000873
1787418473,10.43,200,0.002753
1787418474,10.40,200,0.001674
1787418475,10.40,200,0.002968
1787418475,10.40,200,0.001004
1787418476,10.40,200,0.000964
1787418477,10.40,200,0.003570
1787418477,10.40,200,0.045383
1787418478,10.40,200,0.001508
1787418479,9.81,200,0.001735
1787418479,9.81,200,0.002154
1787418480,9.81,200,0.001602
1787418481,9.81,200,0.060305
1787418481,9.81,200,0.014393
1787418482,9.81,200,0.003477
1787418483,9.81,200,0.064504
1787418483,9.81,200,0.001679
1787418484,9.58,200,0.018312
1787418485,9.58,200,0.002171
1787418485,9.58,200,0.002014
1787418486,9.58,200,0.010040
1787418487,9.58,200,0.001986
1787418487,9.58,200,0.003708
1787418488,9.58,200,0.002920
1787418489,9.77,200,0.003362
1787418489,9.77,200,0.000894
1787418490,9.77,200,0.002894
1787418491,9.77,200,0.001547
1787418493,9.77,200,2.061614
1787418494,10.11,200,0.002793
1787418495,10.11,200,0.000842
1787418495,10.11,200,0.000894
1787418508,10.11,200,12.515353
1787418521,9.93,200,12.057411
1787418535,9.50,200,13.593841
1787418556,9.19,200,19.944149
