# probe-indep node=v25.6.1 target=http://localhost:9876/health n=12
iso_ts,load1,secs_or_error
2026-08-22T17:50:34.744Z,7.04,0.037
2026-08-22T17:50:40.988Z,7.04,5.841
2026-08-22T17:50:46.996Z,6.96,5.608
2026-08-22T17:50:54.241Z,6.80,6.842
2026-08-22T17:51:00.144Z,6.74,5.501
2026-08-22T17:51:05.994Z,6.44,5.448
2026-08-22T17:51:12.296Z,6.05,5.900
2026-08-22T17:51:18.252Z,5.89,5.554
2026-08-22T17:51:24.367Z,5.90,5.713
2026-08-22T17:51:30.505Z,5.74,5.735
2026-08-22T17:51:36.949Z,5.92,6.041
2026-08-22T17:51:42.909Z,6.09,5.558
