block_id,endpoint,tick,scheduled,start,end,outcome,secs
b1,L2,0,397150.623043,397150.761172,397150.933799,met,0.001669
b1,L1,0,397150.623160,397150.788771,397150.982353,met,0.002038
b1,L1,1,397152.623160,397152.801802,397153.215534,met,0.351129
b1,L2,1,397153.623043,397153.878594,397153.963520,met,0.001451
b1,L1,2,397154.623160,397154.815925,397155.440688,missed,0.502192
b1,L1,3,397156.623160,397156.815073,397157.508755,missed,0.507253
b1,L2,2,397156.623043,397156.737974,397158.083987,met,1.234983
b1,L1,4,397158.623160,397158.878443,397159.556319,missed,0.573165
b1,L1,5,397160.623160,397160.826503,397161.509620,missed,0.573910
b1,L2,3,397159.623043,397159.828338,397162.045992,missed,2.076065
b1,L1,6,397162.623160,397162.812823,397163.481590,missed,0.572739
b1,L2,4,397162.623043,397162.783879,397164.211198,met,1.333597
b1,L1,7,397164.623160,397164.813164,397165.482073,missed,0.573870
b1,L1,8,397166.623160,397166.803859,397167.478425,missed,0.570694
b1,L2,5,397165.623043,397165.742903,397167.554270,met,1.748720
b1,L1,9,397168.623160,397168.783773,397169.457739,missed,0.572011
b1,L2,6,397168.623043,397168.810442,397170.997255,missed,2.075542
b1,L1,10,397170.623160,397170.803130,397171.328435,met,0.458930
b1,L1,11,397172.623160,397172.827442,397173.533566,missed,0.576336
b1,L2,7,397171.623043,397171.797416,397173.920059,missed,2.048286
b1,L1,12,397174.623160,397174.817306,397174.949037,met,0.007295
b1,L2,8,397174.623043,397174.821295,397175.066976,met,0.070484
b1,L1,13,397176.623160,397176.874858,397177.531676,missed,0.572584
b1,L1,14,397178.623160,397178.788693,397179.447155,missed,0.567124
b1,L2,9,397177.623043,397177.915436,397180.152903,missed,2.074690
b1,L1,15,397180.623160,397180.814927,397181.422630,missed,0.506295
b1,L2,10,397180.623043,397180.812982,397183.009257,missed,2.073179
b1,L1,16,397182.623160,397182.824540,397183.593478,missed,0.568770
b1,L1,17,397184.623160,397185.076459,397185.210720,timer_late,NA
b1,L2,11,397183.623043,397183.950656,397186.405721,missed,2.075358
b1,L1,18,397186.623160,397186.959905,397187.717900,missed,0.577151
b1,L1,19,397188.623160,397189.044864,397189.145963,timer_late,NA
b1,L2,12,397186.623043,397186.951974,397189.227765,missed,2.068825
b1,L2,13,397189.623043,397189.894004,397190.110865,met,0.006806
b1,L1,20,397190.623160,397190.923253,397191.764376,missed,0.570051
b1,L1,21,397192.623160,397192.828495,397193.604660,missed,0.564745
b1,L2,14,397192.623043,397192.943152,397195.104156,missed,2.076212
b1,L1,22,397194.623160,397194.898981,397195.543538,missed,0.544680
b1,L2,15,397195.623043,397195.860113,397195.942366,met,0.015581
b1,L1,23,397196.623160,397196.909667,397197.532887,missed,0.519488
b1,L2,16,397198.623043,397198.844863,397199.242378,met,0.291584
b1,L1,24,397198.623160,397198.796958,397199.247198,met,0.355636
b1,L1,25,397200.623160,397200.906454,397201.681529,missed,0.575739
b1,L1,26,397202.623160,397203.163861,397203.219206,timer_late,NA
b1,L2,17,397201.623043,397201.936069,397204.339969,missed,2.059089
b1,L1,27,397204.623160,397204.847018,397205.522692,missed,0.574828
b1,L2,18,397204.623043,397204.819775,397207.084430,missed,2.074086
b1,L1,28,397206.623160,397206.883155,397207.660430,missed,0.579629
b1,L1,29,397208.623160,397208.840946,397209.456856,missed,0.502563
b1,L2,19,397207.623043,397207.788083,397210.010002,missed,2.074619
b1,L1,30,397210.623160,397210.751153,397211.437931,missed,0.575482
b1,L2,20,397210.623043,397210.773424,397213.010020,missed,2.073581
b1,L1,31,397212.623160,397212.826949,397213.618269,missed,0.575566
b1,L1,32,397214.623160,397214.861249,397215.893395,missed,0.574954
b1,L2,21,397213.623043,397213.928137,397216.151149,missed,2.077733
b1,L1,33,397216.623160,397217.002836,397217.762820,missed,0.567091
b1,L2,22,397216.623043,397216.951248,397219.219511,missed,2.067098
b1,L1,34,397218.623160,397218.874801,397219.560129,missed,0.569831
b1,L1,35,397220.623160,397220.867806,397221.562183,missed,0.572107
b1,L2,23,397219.623043,397219.842836,397222.226206,missed,2.056224
b1,L1,36,397222.623160,397222.992596,397223.660259,missed,0.575611
b1,L2,24,397222.623043,397222.867652,397224.399496,met,1.353342
b1,L1,37,397224.623160,397224.856129,397225.629785,missed,0.541718
b1,L2,25,397225.623043,397225.837646,397227.269851,met,1.369519
b1,L1,38,397226.623160,397226.817469,397227.270602,met,0.399508
b1,L1,39,397228.623160,397228.776655,397229.419398,missed,0.574303
b1,L2,26,397228.623043,397228.765796,397229.740707,met,0.910706
b1,L1,40,397230.623160,397230.779925,397231.408958,missed,0.571898
b1,L2,27,397231.623043,397231.777521,397231.864785,met,0.030782
b1,L1,41,397232.623160,397232.729849,397232.796513,met,0.002153
b1,L1,42,397234.623160,397234.742277,397234.789294,met,0.002770
b1,L2,28,397234.623043,397234.770929,397234.819053,met,0.001323
b1,L1,43,397236.623160,397236.768041,397237.547433,missed,0.593995
b1,L2,29,397237.623043,397237.960296,397238.037686,met,0.001500
b1,L1,44,397238.623160,397238.885408,397239.603215,missed,0.571220
b1,L1,45,397240.623160,397240.815033,397241.257651,met,0.369436
b1,L2,30,397240.623043,397240.916571,397241.261341,met,0.269865
b1,L1,46,397242.623160,397242.804012,397243.460006,missed,0.569118
b1,L2,31,397243.623043,397243.789624,397243.836871,met,0.002014
b1,L1,47,397244.623160,397244.783541,397245.429080,missed,0.574788
b1,L2,32,397246.623043,397246.764424,397246.840518,met,0.005258
b1,L1,48,397246.623160,397246.785555,397246.873091,met,0.002382
b1,L1,49,397248.623160,397248.781327,397249.412258,missed,0.536507
b1,L2,33,397249.623043,397249.772173,397249.821317,met,0.000977
b1,L1,50,397250.623160,397250.798208,397251.551205,missed,0.578054
b1,L1,51,397252.623160,397252.887653,397253.696237,missed,0.580308
b1,L2,34,397252.623043,397252.801113,397253.950972,met,1.015291
b1,L1,52,397254.623160,397254.901258,397255.602530,missed,0.574859
b1,L2,35,397255.623043,397255.919159,397257.063806,met,1.005808
b1,L1,53,397256.623160,397256.888558,397257.246991,met,0.140954
b1,L1,54,397258.623160,397258.924260,397259.616904,missed,0.573375
b1,L1,55,397260.623160,397260.858327,397261.206890,met,0.257373
b1,L2,36,397258.623043,397258.941164,397261.207821,missed,2.083133
b1,L1,56,397262.623160,397262.891526,397263.604744,missed,0.548386
b1,L2,37,397261.623043,397261.908315,397264.111958,missed,2.073462
b1,L2,38,397264.623043,397264.897627,397265.137186,met,0.036141
b1,L1,57,397264.623160,397264.873516,397265.137103,met,0.118492
b1,L1,58,397266.623160,397266.916618,397267.616938,missed,0.568597
b1,L2,39,397267.623043,397267.807144,397269.373966,met,1.407940
b1,L1,59,397268.623160,397268.824352,397269.374333,met,0.379865
b1,L1,60,397270.623160,397270.880754,397271.553581,missed,0.568342
b1,L2,40,397270.623043,397270.885626,397272.371937,met,1.362728
b1,L1,61,397272.623160,397272.900487,397273.012044,met,0.001364
b1,L1,62,397274.623160,397274.892128,397275.669592,missed,0.572549
b1,L2,41,397273.623043,397273.841207,397275.776629,met,1.727004
b1,L1,63,397276.623160,397276.875159,397277.596023,missed,0.564249
b1,L2,42,397276.623043,397276.867519,397279.103333,missed,2.073787
b1,L1,64,397278.623160,397278.848634,397279.522462,missed,0.556206
b1,L1,65,397280.623160,397280.841346,397281.562671,missed,0.565108
b1,L2,43,397279.623043,397279.819809,397281.999809,missed,2.077757
b1,L1,66,397282.623160,397282.857235,397283.542612,missed,0.575482
b1,L2,44,397282.623043,397282.760484,397284.653460,met,1.787063
b1,L1,67,397284.623160,397284.827115,397284.948003,met,0.002651
b1,L1,68,397286.623160,397286.963780,397287.698658,missed,0.571868
b1,L2,45,397285.623043,397285.887416,397288.160029,missed,2.053602
b1,L1,69,397288.623160,397288.833791,397288.990228,met,0.009012
b1,L2,46,397288.623043,397288.856234,397289.102882,met,0.039296
b1,L1,70,397290.623160,397290.862441,397291.317086,met,0.371401
b1,L2,47,397291.623043,397291.839438,397292.153343,met,0.064110
b1,L1,71,397292.623160,397292.880424,397293.608107,missed,0.578794
b1,L1,72,397294.623160,397294.903557,397295.184199,met,0.044565
b1,L2,48,397294.623043,397294.940276,397295.202762,met,0.056705
b1,L1,73,397296.623160,397297.091275,397297.147004,timer_late,NA
b1,L2,49,397297.623043,397298.086975,397299.415641,met,1.174273
b1,L1,74,397298.623160,397298.833005,397299.615549,missed,0.579482
b1,L1,75,397300.623160,397300.960281,397301.733720,missed,0.573681
b1,L2,50,397300.623043,397300.943582,397302.766681,met,1.721539
b1,L1,76,397302.623160,397302.814083,397303.236460,met,0.302740
b1,L2,51,397303.623043,397303.866172,397304.074573,met,0.001892
b1,L1,77,397304.623160,397304.932677,397305.759102,missed,0.575093
b1,L1,78,397306.623160,397306.883943,397307.012225,met,0.006866
b1,L2,52,397306.623043,397306.904715,397307.040258,met,0.009618
b1,L1,79,397308.623160,397308.817007,397309.497222,missed,0.517782
b1,L2,53,397309.623043,397309.880978,397310.284406,met,0.245589
b1,L1,80,397310.623160,397310.949713,397311.731854,missed,0.577496
b1,L1,81,397312.623160,397312.861127,397313.574894,missed,0.569320
b1,L2,54,397312.623043,397312.973850,397314.567415,met,1.482707
b1,L1,82,397314.623160,397314.855637,397315.020392,met,0.010611
b1,L1,83,397316.623160,397316.799824,397317.520747,missed,0.540575
b1,L2,55,397315.623043,397315.913031,397318.120268,missed,2.077186
b1,L2,56,397318.623043,397318.819692,397319.107793,met,0.123790
b1,L1,84,397318.623160,397318.970420,397319.736808,missed,0.575778
