block_id,endpoint,n,met,missed,error,timer_late,violation_upper_conservative,violation_best_case,block_valid
b1,L1,150,35,110,0,5,0.7667,0.7586,false
b1,L2,100,61,39,0,0,0.3900,0.3900,true
b2,L1,150,52,90,0,8,0.6533,0.6338,false
b2,L2,100,71,29,0,0,0.2900,0.2900,true
b3,L1,150,37,112,0,1,0.7533,0.7517,true
b3,L2,100,46,54,0,0,0.5400,0.5400,true
b4,L1,150,33,117,0,0,0.7800,0.7800,true
b4,L2,100,62,38,0,0,0.3800,0.3800,true
b5,L1,150,30,96,0,24,0.8000,0.7619,false
b5,L2,100,55,45,0,0,0.4500,0.4500,true
