block_id,endpoint,tick,scheduled,start,end,outcome,secs
b1,L1,0,471925.077400,471925.139177,471925.186109,met,0.002178
b1,L2,0,471925.077335,471925.139386,471925.186326,met,0.001346
b1,L1,1,471927.077400,471927.138967,471927.183191,met,0.002018
b1,L2,1,471928.077335,471928.152087,471928.194954,met,0.001182
b1,L1,2,471929.077400,471929.203935,471929.243174,met,0.001402
b1,L1,3,471931.077400,471931.206130,471931.799300,missed,0.527863
b1,L2,2,471931.077335,471931.143409,471932.451748,met,1.251104
b1,L1,4,471933.077400,471933.184248,471933.226023,met,0.003540
b1,L2,3,471934.077335,471934.159669,471934.200566,met,0.001230
b1,L1,5,471935.077400,471935.199733,471935.242614,met,0.003354
b1,L1,6,471937.077400,471937.150400,471937.193749,met,0.003228
b1,L2,4,471937.077335,471937.168425,471937.209738,met,0.001185
b1,L1,7,471939.077400,471939.224829,471939.267550,met,0.003238
b1,L2,5,471940.077335,471940.183085,471940.222909,met,0.001234
b1,L1,8,471941.077400,471941.206463,471941.249783,met,0.003716
b1,L2,6,471943.077335,471943.193148,471943.239464,met,0.001295
b1,L1,9,471943.077400,471943.193293,471943.242406,met,0.004278
b1,L1,10,471945.077400,471945.158620,471945.199063,met,0.000964
b1,L2,7,471946.077335,471946.183227,471946.222938,met,0.001113
b1,L1,11,471947.077400,471947.149241,471947.186726,met,0.001200
b1,L2,8,471949.077335,471949.148875,471949.189222,met,0.001134
b1,L1,12,471949.077400,471949.156230,471949.197100,met,0.001280
b1,L1,13,471951.077400,471951.148158,471951.188749,met,0.003346
b1,L2,9,471952.077335,471952.213754,471952.259855,met,0.001324
b1,L1,14,471953.077400,471953.159132,471953.198569,met,0.001356
b1,L2,10,471955.077335,471955.150198,471955.189849,met,0.001135
b1,L1,15,471955.077400,471955.205674,471955.249889,met,0.003374
b1,L1,16,471957.077400,471957.190793,471957.232095,met,0.002097
b1,L2,11,471958.077335,471958.200583,471958.242250,met,0.000904
b1,L1,17,471959.077400,471959.166413,471959.206814,met,0.001352
b1,L2,12,471961.077335,471961.218240,471961.261458,met,0.001170
b1,L1,18,471961.077400,471961.217714,471961.263503,met,0.003822
b1,L1,19,471963.077400,471963.161651,471963.726699,missed,0.500508
b1,L2,13,471964.077335,471964.226249,471964.266999,met,0.001206
b1,L1,20,471965.077400,471965.162046,471965.204373,met,0.003449
b1,L1,21,471967.077400,471967.150443,471967.191887,met,0.003313
b1,L2,14,471967.077335,471967.202823,471967.243425,met,0.001100
b1,L1,22,471969.077400,471969.149841,471969.188622,met,0.001412
b1,L2,15,471970.077335,471970.215672,471970.255329,met,0.001238
b1,L1,23,471971.077400,471971.207241,471971.248461,met,0.003379
b1,L1,24,471973.077400,471973.148172,471973.191402,met,0.003444
b1,L2,16,471973.077335,471973.202390,471973.242295,met,0.001145
b1,L1,25,471975.077400,471975.216742,471975.259314,met,0.000812
b1,L2,17,471976.077335,471976.164379,471976.205120,met,0.001164
b1,L1,26,471977.077400,471977.172675,471977.213920,met,0.003071
b1,L2,18,471979.077335,471979.147817,471979.188240,met,0.001040
b1,L1,27,471979.077400,471979.175852,471979.218200,met,0.003302
b1,L1,28,471981.077400,471981.183168,471981.229021,met,0.003625
b1,L2,19,471982.077335,471982.190504,471982.231721,met,0.001273
b1,L1,29,471983.077400,471983.199291,471983.240410,met,0.001347
