block_id,endpoint,n,met,missed,error,timer_late,violation_upper_conservative,violation_best_case,block_valid
b1,L1,150,145,5,0,0,0.0333,0.0333,true
b1,L2,100,100,0,0,0,0.0000,0.0000,true
b2,L1,150,143,7,0,0,0.0467,0.0467,true
b2,L2,100,100,0,0,0,0.0000,0.0000,true
b3,L1,150,144,6,0,0,0.0400,0.0400,true
b3,L2,100,100,0,0,0,0.0000,0.0000,true
b4,L1,150,145,5,0,0,0.0333,0.0333,true
b4,L2,100,100,0,0,0,0.0000,0.0000,true
b5,L1,150,145,5,0,0,0.0333,0.0333,true
b5,L2,100,100,0,0,0,0.0000,0.0000,true
b6,L1,150,145,5,0,0,0.0333,0.0333,true
b6,L2,100,100,0,0,0,0.0000,0.0000,true
b7,L1,150,147,3,0,0,0.0200,0.0200,true
b7,L2,100,100,0,0,0,0.0000,0.0000,true
b8,L1,150,144,6,0,0,0.0400,0.0400,true
b8,L2,100,100,0,0,0,0.0000,0.0000,true
b9,L1,150,142,8,0,0,0.0533,0.0533,true
b9,L2,100,99,1,0,0,0.0100,0.0100,true
b10,L1,150,143,7,0,0,0.0467,0.0467,true
b10,L2,100,100,0,0,0,0.0000,0.0000,true
b11,L1,150,143,7,0,0,0.0467,0.0467,true
b11,L2,100,100,0,0,0,0.0000,0.0000,true
b12,L1,150,142,8,0,0,0.0533,0.0533,true
b12,L2,100,99,1,0,0,0.0100,0.0100,true
b13,L1,150,137,13,0,0,0.0867,0.0867,true
b13,L2,100,97,3,0,0,0.0300,0.0300,true
b14,L1,150,139,11,0,0,0.0733,0.0733,true
b14,L2,100,100,0,0,0,0.0000,0.0000,true
b15,L1,150,133,17,0,0,0.1133,0.1133,true
b15,L2,100,96,4,0,0,0.0400,0.0400,true
b16,L1,150,141,9,0,0,0.0600,0.0600,true
b16,L2,100,100,0,0,0,0.0000,0.0000,true
b17,L1,150,127,23,0,0,0.1533,0.1533,true
b17,L2,100,97,3,0,0,0.0300,0.0300,true
b18,L1,150,102,48,0,0,0.3200,0.3200,true
b18,L2,100,76,24,0,0,0.2400,0.2400,true
b19,L1,150,90,39,0,21,0.4000,0.3023,false
b19,L2,100,70,22,0,8,0.3000,0.2391,false
b20,L1,150,2,21,0,107,NA,NA,incomplete_expected=-1
b20,L2,100,1,26,0,34,NA,NA,incomplete_expected=-1
