block_id,endpoint,tick,scheduled,start,end,outcome,secs
b1,L1,0,399065.383758,399065.561036,399066.301017,missed,0.574576
b1,L2,0,399065.384838,399065.560993,399068.110615,missed,2.071754
b1,L1,1,399067.383758,399067.680804,399068.740718,missed,0.573757
b1,L1,2,399069.383758,399069.776683,399070.696959,missed,0.576228
b1,L2,1,399068.384838,399068.758832,399071.384979,missed,2.084413
b1,L1,3,399071.383758,399071.928490,399072.070717,timer_late,NA
b1,L2,2,399071.384838,399071.996092,399072.253541,timer_late,NA
b1,L1,4,399073.383758,399073.993456,399074.250876,timer_late,NA
b1,L2,3,399074.384838,399074.836439,399075.992299,met,0.497191
b1,L1,5,399075.383758,399076.240029,399076.457490,timer_late,NA
b1,L1,6,399077.383758,399077.922901,399078.259958,timer_late,NA
b1,L1,7,399079.383758,399079.866964,399080.275938,timer_late,NA
b1,L2,4,399077.384838,399077.926670,399081.163768,missed,2.089449
b1,L2,5,399080.384838,399081.868085,399082.371886,timer_late,NA
b1,L1,8,399081.383758,399082.328419,399082.614670,timer_late,NA
b1,L1,9,399083.383758,399083.938622,399084.194228,timer_late,NA
b1,L1,10,399085.383758,399085.959561,399086.042928,timer_late,NA
b1,L2,6,399083.384838,399083.917942,399086.594055,missed,2.068495
b1,L2,7,399086.384838,399086.744196,399086.979146,met,0.094153
b1,L1,11,399087.383758,399087.712912,399088.746931,missed,0.565019
b1,L2,8,399089.384838,399089.799882,399090.623923,met,0.015057
b1,L1,12,399089.383758,399089.920736,399090.652150,timer_late,NA
b1,L1,13,399091.383758,399092.608651,399093.079208,timer_late,NA
b1,L2,9,399092.384838,399093.302229,399093.682424,timer_late,NA
b1,L1,14,399093.383758,399094.328261,399095.053810,timer_late,NA
b1,L1,15,399095.383758,399096.128346,399096.344568,timer_late,NA
b1,L2,10,399095.384838,399096.408890,399097.013967,timer_late,NA
b1,L1,16,399097.383758,399098.286347,399098.519714,timer_late,NA
b1,L1,17,399099.383758,399099.938393,399100.541967,timer_late,NA
b1,L2,11,399098.384838,399098.906228,399102.174440,missed,2.078025
b1,L1,18,399101.383758,399102.261517,399102.814273,timer_late,NA
b1,L2,12,399101.384838,399103.057449,399103.352122,timer_late,NA
b1,L1,19,399103.383758,399104.267425,399104.345746,timer_late,NA
b1,L2,13,399104.384838,399104.904212,399106.377525,met,0.639586
b1,L1,20,399105.383758,399106.050444,399106.781192,timer_late,NA
b1,L1,21,399107.383758,399108.886953,399109.397837,timer_late,NA
b1,L2,14,399107.384838,399108.789108,399109.398474,timer_late,NA
b1,L1,22,399109.383758,399109.756359,399110.925056,missed,0.577271
b1,L2,15,399110.384838,399110.997425,399111.389588,timer_late,NA
b1,L1,23,399111.383758,399112.331904,399112.641947,timer_late,NA
b1,L2,16,399113.384838,399114.066875,399114.267411,timer_late,NA
b1,L1,24,399113.383758,399114.148198,399115.426367,timer_late,NA
b1,L1,25,399115.383758,399116.546170,399116.922139,timer_late,NA
