block_id,endpoint,tick,scheduled,start,end,outcome,secs
b1,L2,0,324731.015561,324731.079685,324731.132920,met,0.002033
b1,L1,0,324731.015701,324731.079676,324731.132819,met,0.001375
b1,L1,1,324733.015701,324733.216826,324733.264973,met,0.001382
b1,L2,1,324734.015561,324734.223772,324734.276336,met,0.000965
b1,L1,2,324735.015701,324735.222530,324735.271171,met,0.003701
b1,L2,2,324737.015561,324737.090436,324737.137744,met,0.001580
b1,L1,3,324737.015701,324737.231400,324737.279123,met,0.004203
b1,L1,4,324739.015701,324739.168772,324739.218490,met,0.002068
b1,L2,3,324740.015561,324740.221568,324740.284336,met,0.001461
b1,L1,5,324741.015701,324741.183808,324741.231575,met,0.003691
b1,L2,4,324743.015561,324743.125419,324743.609257,met,0.431222
b1,L1,6,324743.015701,324743.227102,324743.609929,met,0.332317
b1,L1,7,324745.015701,324745.108629,324745.174328,met,0.021496
b1,L2,5,324746.015561,324746.151190,324746.223892,met,0.023778
b1,L1,8,324747.015701,324747.126661,324747.182321,met,0.009275
b1,L1,9,324749.015701,324749.099354,324749.149370,met,0.003861
b1,L2,6,324749.015561,324749.222482,324749.573216,met,0.297875
b1,L1,10,324751.015701,324751.199301,324751.260293,met,0.014668
b1,L2,7,324752.015561,324752.156465,324752.202261,met,0.001347
b1,L1,11,324753.015701,324753.228005,324753.282190,met,0.010477
b1,L2,8,324755.015561,324755.190117,324755.242930,met,0.002053
b1,L1,12,324755.015701,324755.190302,324755.245519,met,0.006167
b1,L1,13,324757.015701,324757.123372,324757.191041,met,0.023884
b1,L2,9,324758.015561,324758.106348,324758.153026,met,0.000941
b1,L1,14,324759.015701,324759.084514,324759.156891,met,0.025268
b1,L1,15,324761.015701,324761.090040,324761.133377,met,0.001396
b1,L2,10,324761.015561,324761.166955,324761.258487,met,0.041679
b1,L1,16,324763.015701,324763.191954,324763.242030,met,0.004326
b1,L2,11,324764.015561,324764.135533,324764.185374,met,0.003094
b1,L1,17,324765.015701,324765.092520,324765.140403,met,0.003936
b1,L1,18,324767.015701,324767.152239,324767.264352,met,0.062816
b1,L2,12,324767.015561,324767.152199,324767.264294,met,0.060264
b1,L1,19,324769.015701,324769.101398,324769.161975,met,0.013971
b1,L2,13,324770.015561,324770.139668,324770.263953,met,0.073247
b1,L1,20,324771.015701,324771.156311,324771.209671,met,0.010359
b1,L1,21,324773.015701,324773.161877,324773.878942,missed,0.648170
b1,L2,14,324773.015561,324773.161877,324775.059839,met,1.837711
b1,L1,22,324775.015701,324775.151737,324775.198697,met,0.000973
b1,L2,15,324776.015561,324776.200971,324776.264323,met,0.001030
b1,L1,23,324777.015701,324777.208539,324777.252744,met,0.000967
b1,L2,16,324779.015561,324779.186636,324779.232581,met,0.001309
b1,L1,24,324779.015701,324779.225889,324779.274390,met,0.004207
b1,L1,25,324781.015701,324781.081786,324781.130348,met,0.003405
b1,L2,17,324782.015561,324782.188262,324782.239044,met,0.001377
b1,L1,26,324783.015701,324783.222397,324783.269417,met,0.002092
b1,L1,27,324785.015701,324785.172234,324785.220157,met,0.004883
b1,L2,18,324785.015561,324785.193634,324785.238432,met,0.001351
b1,L1,28,324787.015701,324787.090380,324787.139182,met,0.002729
b1,L2,19,324788.015561,324788.100686,324788.150364,met,0.001234
b1,L1,29,324789.015701,324789.155497,324789.203447,met,0.002465
b1,L1,30,324791.015701,324791.148678,324791.199376,met,0.003506
b1,L2,20,324791.015561,324791.153051,324791.199647,met,0.001887
b1,L1,31,324793.015701,324793.139033,324793.186308,met,0.003796
b1,L2,21,324794.015561,324794.151790,324794.195896,met,0.001354
b1,L1,32,324795.015701,324795.158536,324795.207975,met,0.004146
b1,L2,22,324797.015561,324797.175338,324797.222059,met,0.001631
b1,L1,33,324797.015701,324797.206340,324797.253440,met,0.003659
b1,L1,34,324799.015701,324799.079274,324799.126184,met,0.003786
b1,L2,23,324800.015561,324800.228985,324800.283896,met,0.001190
b1,L1,35,324801.015701,324801.185984,324801.234573,met,0.003196
b1,L2,24,324803.015561,324803.159770,324803.207286,met,0.001579
b1,L1,36,324803.015701,324803.221707,324803.273535,met,0.003220
b1,L1,37,324805.015701,324805.196748,324805.901240,missed,0.645909
b1,L2,25,324806.015561,324806.105115,324806.209445,met,0.058043
b1,L1,38,324807.015701,324807.213325,324807.260783,met,0.001067
b1,L2,26,324809.015561,324809.191994,324809.246242,met,0.001366
b1,L1,39,324809.015701,324809.191945,324809.248953,met,0.005092
b1,L1,40,324811.015701,324811.088916,324811.143195,met,0.005054
b1,L2,27,324812.015561,324812.145578,324812.191353,met,0.001254
b1,L1,41,324813.015701,324813.173587,324813.224106,met,0.003969
b1,L1,42,324815.015701,324815.171355,324815.229967,met,0.004798
b1,L2,28,324815.015561,324815.198973,324815.248886,met,0.001313
b1,L1,43,324817.015701,324817.219905,324817.284805,met,0.004289
b1,L2,29,324818.015561,324818.187695,324818.254049,met,0.001567
b1,L1,44,324819.015701,324819.180790,324819.239534,met,0.004208
b1,L2,30,324821.015561,324821.139813,324821.479439,met,0.286322
b1,L1,45,324821.015701,324821.156743,324821.762414,missed,0.546160
b1,L1,46,324823.015701,324823.093997,324823.141052,met,0.003884
b1,L2,31,324824.015561,324824.230330,324824.287468,met,0.008920
b1,L1,47,324825.015701,324825.142165,324825.203458,met,0.001660
b1,L2,32,324827.015561,324827.107311,324827.170765,met,0.001625
b1,L1,48,324827.015701,324827.230205,324827.299472,met,0.015545
b1,L1,49,324829.015701,324829.233776,324829.296895,met,0.017663
b1,L2,33,324830.015561,324830.120199,324830.169103,met,0.001286
b1,L1,50,324831.015701,324831.224039,324831.272656,met,0.002084
b1,L2,34,324833.015561,324833.211316,324833.266180,met,0.001166
b1,L1,51,324833.015701,324833.211484,324833.266651,met,0.004207
b1,L1,52,324835.015701,324835.124198,324835.172234,met,0.001542
b1,L2,35,324836.015561,324836.168468,324836.227700,met,0.007040
b1,L1,53,324837.015701,324837.099516,324837.748018,missed,0.585932
b1,L2,36,324839.015561,324839.222291,324839.276892,met,0.000998
b1,L1,54,324839.015701,324839.222074,324839.277354,met,0.002579
b1,L1,55,324841.015701,324841.183754,324841.261017,met,0.029361
b1,L2,37,324842.015561,324842.143369,324842.192430,met,0.001300
b1,L1,56,324843.015701,324843.147145,324843.197148,met,0.004273
b1,L1,57,324845.015701,324845.184299,324845.237203,met,0.003634
b1,L2,38,324845.015561,324845.223250,324845.269976,met,0.001196
b1,L1,58,324847.015701,324847.230015,324847.297888,met,0.005101
b1,L2,39,324848.015561,324848.222091,324848.270254,met,0.001247
b1,L1,59,324849.015701,324849.240461,324849.289857,met,0.004117
b1,L2,40,324851.015561,324851.198153,324851.498348,met,0.234398
b1,L1,60,324851.015701,324851.228578,324851.498594,met,0.208702
b1,L1,61,324853.015701,324853.141867,324853.849257,missed,0.637620
b1,L1,62,324855.015701,324855.149891,324855.896632,missed,0.644551
b1,L2,41,324854.015561,324854.203584,324855.963107,met,1.676253
b1,L2,42,324857.015561,324857.203068,324857.286055,met,0.001584
b1,L1,63,324857.015701,324857.270489,324857.354481,met,0.003589
b1,L1,64,324859.015701,324859.133590,324859.214268,met,0.001416
b1,L2,43,324860.015561,324860.270443,324860.348205,met,0.001309
b1,L1,65,324861.015701,324861.265098,324862.006552,missed,0.645198
b1,L2,44,324863.015561,324863.147009,324863.302532,met,0.064751
b1,L1,66,324863.015701,324863.146921,324863.302552,met,0.063015
b1,L1,67,324865.015701,324865.254283,324865.299620,met,0.001323
b1,L1,68,324867.015701,324867.143016,324867.879015,missed,0.643936
b1,L2,45,324866.015561,324866.276976,324868.516627,missed,2.140400
b1,L1,69,324869.015701,324869.225355,324869.952063,missed,0.641466
b1,L2,46,324869.015561,324869.258542,324870.225378,met,0.899962
b1,L1,70,324871.015701,324871.257999,324871.985850,missed,0.649282
b1,L2,47,324872.015561,324872.262925,324873.115086,met,0.772721
b1,L1,71,324873.015701,324873.122437,324873.317797,met,0.115840
b1,L1,72,324875.015701,324875.162566,324875.251735,met,0.012543
b1,L2,48,324875.015561,324875.265613,324875.353885,met,0.005166
b1,L1,73,324877.015701,324877.267341,324877.919198,missed,0.563442
b1,L2,49,324878.015561,324878.204365,324878.816018,met,0.545410
b1,L1,74,324879.015701,324879.199328,324879.331696,met,0.058686
b1,L2,50,324881.015561,324881.244659,324881.292876,met,0.001235
b1,L1,75,324881.015701,324881.256064,324881.310899,met,0.003953
b1,L1,76,324883.015701,324883.113047,324883.190598,met,0.003080
b1,L2,51,324884.015561,324884.151790,324884.232026,met,0.001278
b1,L1,77,324885.015701,324885.264435,324885.349093,met,0.004230
b1,L1,78,324887.015701,324887.262979,324887.978676,missed,0.615471
b1,L2,52,324887.015561,324887.262906,324889.488316,missed,2.114377
b1,L1,79,324889.015701,324889.267957,324889.986255,missed,0.639849
b1,L2,53,324890.015561,324890.127440,324890.714672,met,0.502839
b1,L1,80,324891.015701,324891.249095,324891.332738,met,0.001668
b1,L1,81,324893.015701,324893.217867,324893.294810,met,0.003335
b1,L2,54,324893.015561,324893.246200,324893.320060,met,0.001540
b1,L1,82,324895.015701,324895.271055,324895.350413,met,0.001451
b1,L2,55,324896.015561,324896.217292,324896.852189,met,0.562927
b1,L1,83,324897.015701,324897.244685,324897.924024,missed,0.614670
b1,L1,84,324899.015701,324899.122947,324899.208812,met,0.001282
b1,L2,56,324899.015561,324899.214703,324899.323467,met,0.001745
b1,L1,85,324901.015701,324901.150458,324901.910978,missed,0.651746
b1,L1,86,324903.015701,324903.335785,324903.949259,missed,0.515461
b1,L2,57,324902.015561,324902.182870,324904.313135,missed,2.017751
b1,L1,87,324905.015701,324905.139610,324905.230108,met,0.001807
b1,L2,58,324905.015561,324905.284862,324905.418958,met,0.010203
b1,L1,88,324907.015701,324907.303247,324907.391084,met,0.001426
b1,L2,59,324908.015561,324908.252987,324908.300240,met,0.001305
b1,L1,89,324909.015701,324909.257709,324909.306534,met,0.003915
b1,L2,60,324911.015561,324911.223253,324911.274724,met,0.001475
b1,L1,90,324911.015701,324911.223247,324911.276065,met,0.004750
b1,L1,91,324913.015701,324913.223150,324913.273136,met,0.003808
b1,L2,61,324914.015561,324914.221273,324914.270529,met,0.001199
b1,L1,92,324915.015701,324915.200779,324915.249590,met,0.003285
b1,L1,93,324917.015701,324917.125739,324917.176994,met,0.004327
b1,L2,62,324917.015561,324917.222514,324917.267264,met,0.001188
b1,L1,94,324919.015701,324919.157929,324919.208030,met,0.003726
b1,L2,63,324920.015561,324920.134686,324920.185831,met,0.002677
b1,L1,95,324921.015701,324921.108357,324921.158225,met,0.004761
b1,L1,96,324923.015701,324923.143247,324923.199957,met,0.004408
b1,L2,64,324923.015561,324923.143247,324923.200054,met,0.005042
b1,L1,97,324925.015701,324925.092465,324925.139090,met,0.001420
b1,L2,65,324926.015561,324926.191315,324926.239125,met,0.001271
b1,L1,98,324927.015701,324927.210249,324927.259521,met,0.003334
b1,L1,99,324929.015701,324929.203103,324929.254129,met,0.001074
b1,L2,66,324929.015561,324929.219836,324929.270027,met,0.000872
b1,L1,100,324931.015701,324931.166737,324931.211342,met,0.001746
b1,L2,67,324932.015561,324932.125418,324932.170641,met,0.001383
b1,L1,101,324933.015701,324933.096927,324933.781680,missed,0.617971
b1,L2,68,324935.015561,324935.160858,324935.212207,met,0.001414
b1,L1,102,324935.015701,324935.160967,324935.214451,met,0.005055
b1,L1,103,324937.015701,324937.101632,324937.147396,met,0.002094
b1,L2,69,324938.015561,324938.238051,324938.285659,met,0.001302
b1,L1,104,324939.015701,324939.149896,324939.200498,met,0.003808
b1,L2,70,324941.015561,324941.084340,324941.132568,met,0.001278
b1,L1,105,324941.015701,324941.088804,324941.136022,met,0.003281
b1,L1,106,324943.015701,324943.230702,324943.276648,met,0.001524
b1,L2,71,324944.015561,324944.084910,324944.132118,met,0.001272
b1,L1,107,324945.015701,324945.092040,324945.141305,met,0.004538
b1,L2,72,324947.015561,324947.175588,324947.223227,met,0.001380
b1,L1,108,324947.015701,324947.188189,324947.238852,met,0.003800
b1,L1,109,324949.015701,324949.232517,324949.280978,met,0.003572
b1,L2,73,324950.015561,324950.211984,324950.257960,met,0.001221
b1,L1,110,324951.015701,324951.227016,324951.276110,met,0.004302
b1,L2,74,324953.015561,324953.208567,324953.402255,met,0.138528
b1,L1,111,324953.015701,324953.208572,324953.402142,met,0.138321
b1,L1,112,324955.015701,324955.159502,324955.207965,met,0.004173
b1,L2,75,324956.015561,324956.223476,324956.267933,met,0.001185
b1,L1,113,324957.015701,324957.080591,324957.131508,met,0.005029
b1,L1,114,324959.015701,324959.078446,324959.122448,met,0.001789
b1,L2,76,324959.015561,324959.200215,324959.246500,met,0.000876
b1,L1,115,324961.015701,324961.191331,324961.239012,met,0.001693
b1,L2,77,324962.015561,324962.086751,324962.132902,met,0.001225
b1,L1,116,324963.015701,324963.092558,324963.146762,met,0.003488
b1,L1,117,324965.015701,324965.185336,324965.238654,met,0.003050
b1,L2,78,324965.015561,324965.185240,324965.238637,met,0.003755
b1,L1,118,324967.015701,324967.158904,324967.202854,met,0.001488
b1,L2,79,324968.015561,324968.136869,324968.187031,met,0.000920
b1,L1,119,324969.015701,324969.155508,324969.200148,met,0.003293
b1,L2,80,324971.015561,324971.177646,324971.772039,met,0.544420
b1,L1,120,324971.015701,324971.164322,324971.780684,missed,0.556602
b1,L1,121,324973.015701,324973.177887,324973.228596,met,0.004957
b1,L2,81,324974.015561,324974.150724,324974.198863,met,0.001204
b1,L1,122,324975.015701,324975.195903,324975.243213,met,0.004864
b1,L2,82,324977.015561,324977.114353,324977.160596,met,0.001401
b1,L1,123,324977.015701,324977.225941,324977.271588,met,0.001331
b1,L1,124,324979.015701,324979.227106,324979.275227,met,0.002090
b1,L2,83,324980.015561,324980.095475,324980.141980,met,0.000896
b1,L1,125,324981.015701,324981.095099,324981.141353,met,0.003818
b1,L2,84,324983.015561,324983.088432,324983.140356,met,0.007003
b1,L1,126,324983.015701,324983.222519,324983.269243,met,0.001983
b1,L1,127,324985.015701,324985.100123,324985.160807,met,0.007758
b1,L2,85,324986.015561,324986.159030,324986.204342,met,0.000872
b1,L1,128,324987.015701,324987.212162,324987.260506,met,0.003909
b1,L2,86,324989.015561,324989.149576,324989.201320,met,0.001200
b1,L1,129,324989.015701,324989.149492,324989.201325,met,0.002456
b1,L1,130,324991.015701,324991.131177,324991.196743,met,0.019485
b1,L2,87,324992.015561,324992.164067,324992.208079,met,0.000865
b1,L1,131,324993.015701,324993.142760,324993.208299,met,0.020651
b1,L1,132,324995.015701,324995.192129,324995.900647,missed,0.650101
b1,L2,88,324995.015561,324995.080107,324996.205871,met,1.075030
b1,L1,133,324997.015701,324997.207410,324997.253568,met,0.001753
b1,L2,89,324998.015561,324998.198302,324998.244429,met,0.001285
b1,L1,134,324999.015701,324999.197570,324999.740565,met,0.481936
b1,L2,90,325001.015561,325001.215113,325001.267986,met,0.000919
b1,L1,135,325001.015701,325001.227619,325001.281054,met,0.002530
b1,L1,136,325003.015701,325003.149702,325003.197508,met,0.003294
b1,L2,91,325004.015561,325004.158916,325004.204033,met,0.000888
b1,L1,137,325005.015701,325005.155942,325005.212445,met,0.010000
b1,L1,138,325007.015701,325007.095362,325007.140224,met,0.003302
b1,L2,92,325007.015561,325007.156472,325007.199537,met,0.001234
b1,L1,139,325009.015701,325009.094439,325009.140152,met,0.003498
b1,L2,93,325010.015561,325010.102636,325010.147535,met,0.001253
b1,L1,140,325011.015701,325011.218317,325011.263855,met,0.001824
b1,L2,94,325013.015561,325013.108945,325013.151730,met,0.001257
b1,L1,141,325013.015701,325013.124989,325013.168586,met,0.001357
b1,L1,142,325015.015701,325015.178461,325015.224953,met,0.001808
b1,L2,95,325016.015561,325016.154574,325016.198852,met,0.000907
b1,L1,143,325017.015701,325017.091788,325017.136084,met,0.003384
b1,L1,144,325019.015701,325019.095585,325019.143285,met,0.004454
b1,L2,96,325019.015561,325019.119485,325019.163382,met,0.000899
b1,L1,145,325021.015701,325021.167784,325021.211113,met,0.002114
b1,L2,97,325022.015561,325022.185018,325022.228036,met,0.001318
b1,L1,146,325023.015701,325023.157929,325023.235198,met,0.031786
b1,L2,98,325025.015561,325025.123048,325025.167289,met,0.001255
b1,L1,147,325025.015701,325025.137243,325025.183076,met,0.001332
b1,L1,148,325027.015701,325027.098685,325027.418629,met,0.271100
b1,L2,99,325028.015561,325028.187901,325028.233824,met,0.001256
b1,L1,149,325029.015701,325029.079849,325029.125626,met,0.001920
b2,L2,0,325029.506044,325029.566570,325029.617535,met,0.001264
b2,L1,0,325029.505988,325029.566671,325029.617666,met,0.001904
b2,L1,1,325031.505988,325031.706448,325031.749580,met,0.003487
b2,L2,1,325032.506044,325032.626146,325032.672141,met,0.001599
b2,L1,2,325033.505988,325033.667587,325033.712070,met,0.001770
b2,L1,3,325035.505988,325035.586522,325035.632017,met,0.001321
b2,L2,2,325035.506044,325035.694691,325035.733023,met,0.001275
b2,L1,4,325037.505988,325037.723775,325037.770432,met,0.003858
b2,L2,3,325038.506044,325038.714247,325038.756402,met,0.001216
b2,L1,5,325039.505988,325039.564632,325039.614312,met,0.006843
b2,L2,4,325041.506044,325041.637356,325041.688362,met,0.002620
