block_id,endpoint,tick,scheduled,start,end,outcome,secs
b1,L2,0,313021.624424,313021.689054,313021.738500,met,0.000995
b1,L1,0,313021.624275,313021.689033,313021.738528,met,0.001415
b1,L1,1,313023.624275,313023.823160,313023.866823,met,0.002425
b1,L2,1,313024.624424,313024.756695,313025.205969,met,0.403781
b1,L1,2,313025.624275,313025.706154,313025.751326,met,0.003544
b1,L1,3,313027.624275,313027.680374,313027.720722,met,0.001431
b1,L2,2,313027.624424,313027.696586,313027.737736,met,0.001331
b1,L1,4,313029.624275,313029.813225,313029.854211,met,0.003434
b1,L2,3,313030.624424,313030.815610,313031.968314,met,1.106638
b1,L1,5,313031.624275,313031.726242,313031.968277,met,0.197257
b1,L1,6,313033.624275,313033.797073,313033.847314,met,0.010218
b1,L2,4,313033.624424,313033.831927,313033.872095,met,0.000906
b1,L1,7,313035.624275,313035.709021,313036.008944,met,0.254904
b1,L2,5,313036.624424,313036.702801,313036.745621,met,0.001300
b1,L1,8,313037.624275,313037.688466,313038.128744,met,0.394347
b1,L1,9,313039.624275,313039.824851,313040.186695,met,0.317351
b1,L2,6,313039.624424,313039.814085,313040.186626,met,0.324587
b1,L1,10,313041.624275,313041.704275,313042.407900,missed,0.645737
b1,L2,7,313042.624424,313042.839804,313042.879646,met,0.001326
