fingerprint_resets_at_utc,plan,events,files,first,last,min_pct,max_pct,delta_pct,tokens_total,tokens_input,tokens_cached_input,tokens_output,pct_per_100M_total_tokens,pct_per_1M_uncached_plus_output
2026-09-23T20:59Z,,136,1,2026-09-17T20:50:46.134Z,2026-09-17T21:33:53.106Z,50.0,59.0,9.0,15637291,15566067,14821888,71224,57.555,11.0375
2026-09-29T23:51Z,,15120,153,2026-09-22T23:51:46.580Z,2026-09-23T19:34:43.143Z,0.0,100.0,100.0,2005773551,2000988704,1961564416,4784847,4.986,2.262
2026-09-30T01:22Z,,1,1,2026-09-23T01:23:15.987Z,2026-09-23T01:23:15.987Z,0.0,0.0,0.0,243149,242364,242176,785,,
2026-09-30T01:23Z,,3,1,2026-09-23T01:23:26.192Z,2026-09-23T01:26:34.948Z,0.0,0.0,0.0,488230,486533,485120,1697,,
2026-09-30T01:26Z,,2,1,2026-09-23T01:26:52.579Z,2026-09-23T01:27:02.072Z,0.0,0.0,0.0,67704,67048,60672,656,,
2026-09-30T01:27Z,,5,1,2026-09-23T01:27:10.514Z,2026-09-23T01:28:11.710Z,0.0,0.0,0.0,227363,225699,211712,1664,,
2026-09-30T01:28Z,,4,1,2026-09-23T01:28:24.574Z,2026-09-23T01:29:24.491Z,0.0,0.0,0.0,213348,211570,194688,1778,,
2026-09-30T01:29Z,,1,1,2026-09-23T01:31:11.455Z,2026-09-23T01:31:11.455Z,0.0,0.0,0.0,70565,67641,63616,2924,,
2026-09-30T01:31Z,,1,1,2026-09-23T01:32:50.087Z,2026-09-23T01:32:50.087Z,0.0,0.0,0.0,73565,70634,67456,2931,,
2026-09-30T01:32Z,,1,1,2026-09-23T01:33:32.349Z,2026-09-23T01:33:32.349Z,0.0,0.0,0.0,74822,73589,70400,1233,,
2026-09-30T01:33Z,,2,1,2026-09-23T01:33:40.378Z,2026-09-23T01:34:06.439Z,0.0,0.0,0.0,151675,150852,148224,823,,
2026-09-30T01:34Z,,3,1,2026-09-23T01:34:30.471Z,2026-09-23T01:35:11.670Z,0.0,0.0,0.0,237632,236216,231552,1416,,
2026-09-30T01:35Z,,3,1,2026-09-23T01:35:34.623Z,2026-09-23T01:36:09.347Z,0.0,0.0,0.0,246978,245623,242432,1355,,
2026-09-30T01:36Z,,6,1,2026-09-23T01:36:17.017Z,2026-09-23T01:37:19.132Z,0.0,0.0,0.0,523367,522219,515456,1148,,
2026-09-30T01:37Z,,2,1,2026-09-23T01:37:57.452Z,2026-09-23T01:38:16.654Z,0.0,0.0,0.0,187104,186387,180608,717,,
2026-09-30T01:38Z,,1,1,2026-09-23T01:39:05.196Z,2026-09-23T01:39:05.196Z,0.0,0.0,0.0,96219,94791,93696,1428,,
2026-09-30T01:39Z,,5,1,2026-09-23T01:39:14.438Z,2026-09-23T01:40:31.009Z,0.0,0.0,0.0,492473,490536,482048,1937,,
2026-09-30T01:40Z,,4,1,2026-09-23T01:40:37.226Z,2026-09-23T01:41:12.351Z,0.0,0.0,0.0,417061,416306,413184,755,,
2026-09-30T01:41Z,,4,1,2026-09-23T01:41:25.574Z,2026-09-23T01:42:35.473Z,0.0,0.0,0.0,450418,448261,431360,2157,,
2026-09-30T01:42Z,,2,1,2026-09-23T01:42:42.296Z,2026-09-23T01:43:01.838Z,0.0,0.0,0.0,247598,246983,243072,615,,
2026-09-30T01:43Z,,6,1,2026-09-23T01:43:09.769Z,2026-09-23T01:43:59.833Z,0.0,0.0,0.0,768332,767205,761088,1127,,
2026-09-30T01:44Z,,3,1,2026-09-23T01:44:28.653Z,2026-09-23T01:45:18.078Z,0.0,0.0,0.0,406409,404783,390144,1626,,
2026-09-30T01:45Z,,2,1,2026-09-23T01:45:24.349Z,2026-09-23T01:46:32.643Z,0.0,0.0,0.0,298595,297363,291584,1232,,
2026-09-30T01:46Z,,1,1,2026-09-23T01:47:16.503Z,2026-09-23T01:47:16.503Z,0.0,0.0,0.0,153173,152932,148992,241,,
2026-09-30T01:47Z,,5,1,2026-09-23T01:47:27.220Z,2026-09-23T01:48:01.696Z,0.0,0.0,0.0,850914,850174,828544,740,,
2026-09-30T01:48Z,,4,1,2026-09-23T01:48:17.979Z,2026-09-23T01:49:06.855Z,0.0,0.0,0.0,698365,697493,695808,872,,
2026-09-30T01:49Z,,6,1,2026-09-23T01:49:19.758Z,2026-09-23T01:50:09.261Z,0.0,0.0,0.0,1130828,1129547,1112832,1281,,
2026-09-30T01:50Z,,4,1,2026-09-23T01:50:21.870Z,2026-09-23T01:51:12.959Z,0.0,0.0,0.0,774038,772795,768000,1243,,
2026-09-30T01:51Z,,2,1,2026-09-23T01:51:31.830Z,2026-09-23T01:52:16.655Z,0.0,0.0,0.0,401995,401522,389504,473,,
2026-09-30T01:52Z,,3,1,2026-09-23T01:52:23.661Z,2026-09-23T01:53:35.863Z,0.0,0.0,0.0,624427,623824,620288,603,,
2026-09-30T01:53Z,,2,1,2026-09-23T01:53:52.187Z,2026-09-23T01:54:17.249Z,0.0,0.0,0.0,421843,421118,418944,725,,
2026-09-30T01:54Z,,2,1,2026-09-23T01:54:26.572Z,2026-09-23T01:55:27.579Z,0.0,0.0,0.0,425656,424077,422272,1579,,
2026-09-30T01:55Z,,1,1,2026-09-23T01:57:21.986Z,2026-09-23T01:57:21.986Z,0.0,0.0,0.0,224015,220531,211968,3484,,
2026-09-30T01:57Z,,4,1,2026-09-23T01:57:35.314Z,2026-09-23T01:58:07.203Z,0.0,0.0,0.0,898791,897992,892928,799,,
2026-09-30T01:58Z,,4,1,2026-09-23T01:58:15.557Z,2026-09-23T01:59:04.057Z,0.0,0.0,0.0,904378,903244,900480,1134,,
2026-09-30T01:59Z,,4,1,2026-09-23T01:59:17.899Z,2026-09-23T02:00:09.930Z,0.0,0.0,0.0,914270,912831,910464,1439,,
2026-09-30T02:00Z,,2,1,2026-09-23T02:00:38.953Z,2026-09-23T02:01:29.306Z,0.0,0.0,0.0,459363,458834,457600,529,,
2026-09-30T02:01Z,,2,1,2026-09-23T02:01:41.036Z,2026-09-23T02:02:42.203Z,0.0,0.0,0.0,461687,459905,459136,1782,,
2026-09-30T02:02Z,,2,1,2026-09-23T02:02:54.409Z,2026-09-23T02:03:39.691Z,0.0,0.0,0.0,464320,463786,461312,534,,
2026-09-30T02:03Z,,2,1,2026-09-23T02:03:47.367Z,2026-09-23T02:04:05.673Z,0.0,0.0,0.0,465323,464873,464000,450,,
2026-09-30T02:04Z,,2,1,2026-09-23T02:04:28.933Z,2026-09-23T02:05:13.796Z,0.0,0.0,0.0,466458,466009,465024,449,,
2026-09-30T02:05Z,,2,1,2026-09-23T02:05:29.120Z,2026-09-23T02:06:22.636Z,0.0,0.0,0.0,467483,466895,466176,588,,
2026-09-30T02:06Z,,3,1,2026-09-23T02:06:38.023Z,2026-09-23T02:07:05.434Z,0.0,0.0,0.0,703276,702699,701184,577,,
2026-09-30T02:07Z,,3,1,2026-09-23T02:07:14.700Z,2026-09-23T02:08:08.305Z,0.0,0.0,0.0,711098,710749,706560,349,,
2026-09-30T02:08Z,,2,1,2026-09-23T02:10:41.451Z,2026-09-23T02:12:36.689Z,0.0,0.0,0.0,246723,242107,237952,4616,,
2026-09-30T02:12Z,,3,1,2026-09-23T02:12:48.200Z,2026-09-23T02:13:07.621Z,0.0,0.0,0.0,107960,107268,96256,692,,
2026-09-30T02:13Z,,1,1,2026-09-23T02:14:15.248Z,2026-09-23T02:14:15.248Z,0.0,0.0,0.0,42624,40590,38784,2034,,
2026-09-30T02:14Z,,2,1,2026-09-23T02:14:38.427Z,2026-09-23T02:15:19.786Z,0.0,0.0,0.0,88577,87171,82944,1406,,
2026-09-30T02:15Z,,3,1,2026-09-23T02:15:30.413Z,2026-09-23T02:16:03.266Z,0.0,0.0,0.0,142885,142248,135936,637,,
2026-09-30T02:16Z,,4,1,2026-09-23T02:16:15.951Z,2026-09-23T02:16:57.717Z,0.0,0.0,0.0,206743,205695,203136,1048,,
2026-09-30T02:17Z,,2,1,2026-09-23T02:17:35.181Z,2026-09-23T02:18:23.791Z,0.0,0.0,0.0,109344,108796,105600,548,,
2026-09-30T02:18Z,,1,1,2026-09-23T02:19:07.435Z,2026-09-23T02:19:07.435Z,0.0,0.0,0.0,67722,67404,54784,318,,
2026-09-30T02:19Z,,5,1,2026-09-23T02:19:20.050Z,2026-09-23T02:20:32.266Z,0.0,0.0,0.0,404222,402414,384128,1808,,
2026-09-30T02:20Z,,3,1,2026-09-23T02:20:41.208Z,2026-09-23T02:21:02.609Z,0.0,0.0,0.0,260385,259978,257024,407,,
2026-09-30T02:21Z,,3,1,2026-09-23T02:21:12.601Z,2026-09-23T02:22:13.424Z,0.0,0.0,0.0,267992,266338,262144,1654,,
2026-09-30T02:22Z,,4,1,2026-09-23T02:22:32.244Z,2026-09-23T02:23:08.376Z,0.0,0.0,0.0,376339,375507,371072,832,,
2026-09-30T02:23Z,,2,1,2026-09-23T02:23:16.052Z,2026-09-23T02:24:18.789Z,0.0,0.0,0.0,193428,191451,189312,1977,,
