request_id,run_id,authority,source_node_id,source_attempt,requested_at
rework:c86bd9cba37dbb0dd2c6a764a0daa5c362c988c5dc30f0c3cfbce1a840f303f4,c79a7386-bd54-4464-a031-3cb77583fc43,founder,founder_gate,1,2026-09-08T17:22:33.927Z
rework:6947645029983178741dd4f4146d5838ebe9b2a56b5bb24efac89b7e5053f11b,c79a7386-bd54-4464-a031-3cb77583fc43,founder,implement,2,2026-09-08T20:45:06.088Z
rework:33591a423f488babf6deed3b9ae150b6bb8fb40ea29a42ca20dcda0b56a30fe5,c79a7386-bd54-4464-a031-3cb77583fc43,lead,founder_gate,2,2026-09-08T21:09:48.190Z
rework:090f4cbae2f8dd408e469c52729528bba3560b6d9f48d5602774d9c46992d953,0046d93b-146c-4b78-8b3a-f9ed9eaaa205,qa,qa,1,2026-09-09T02:22:35.029Z
rework:748fb4ef5b492572886b5e5ee9d4e50634dd594a6d925ccc0df7b818294683ee,c79a7386-bd54-4464-a031-3cb77583fc43,lead,implement,3,2026-09-09T03:31:19.114Z
rework:8d98875db14c0885bec22844208616d6863d81241a83389c0d493e36823dd724,4e86edef-4b6c-4781-b9d6-70aaea3e0e1c,qa,qa,1,2026-09-09T03:45:03.078Z
rework:075fb71208e681afdd9a51b1bf210be3074b47c736578d7bfdbd98e3c0cc2608,8b503475-e5a5-472f-baea-bda9e366b5c2,qa,qa,1,2026-09-09T06:44:28.532Z
rework:e1918b7fb3ef4fbc851f73df550bf16005822b9b61c0c0330c65da8a874788ea,8b503475-e5a5-472f-baea-bda9e366b5c2,qa,implement,2,2026-09-09T08:24:02.097Z
rework:c00fde86c3c9799619f16a5133396e0ccc2740d4a2322b3b3bbb7857c2bb85ed,f45a37e7-c681-4d3f-b899-1800afa590d5,qa,qa,1,2026-09-09T08:42:10.306Z
rework:25512c659b9b3c11b87320e9e74aa84f5a625a22eddbeaa35fce4a141908ab85,c3c393f1-2cd1-4ade-917c-84592cb1bbe7,qa,qa,1,2026-09-09T08:44:57.198Z
rework:d20282f2c3e95876bf75122aba5983f93f80ef03464e20d67319d6d94726c99b,c8b7c661-947a-4c0f-a41b-9accd8090afd,qa,qa,1,2026-09-09T09:33:17.740Z
rework:1c2b2c2fd2d2789a8f8df2c15bfa347a992e487ce4fa61acf31a47c15a0e0389,b611ce55-1ce4-46aa-a008-780efad435bd,qa,qa,1,2026-09-09T12:54:43.806Z
rework:3f43f1e023ad8ed60fd9f7f27a23f53735ad7e09011160a8a3be260517834a7b,d6c4b403-a0c8-4339-8e2e-d36cf48d0cdf,qa,qa,1,2026-09-09T17:57:59.553Z
rework:876f7993f157886e96bfb0f1b599f8372a471f9190756b498b66f75420701ae8,15b4bd81-005f-4173-a3ea-d5a26906c607,lead,founder_gate,1,2026-09-09T19:13:22.647Z
rework:df40d45d155e4e66de25636059e0570c0f693ca1301973c3f34020f07ba96720,eb7ac1ef-73f1-4a2d-ba41-963d7147d8c1,qa,qa,1,2026-09-09T19:17:53.780Z
rework:b14b6a3ce09647498a4ad7c8343511c68728f4b4ce5362fcd1556434ee4aaac5,d6c4b403-a0c8-4339-8e2e-d36cf48d0cdf,qa,implement,2,2026-09-09T20:51:24.425Z
