activation_id,execution_id,run_id,node_id,attempt,axis,assignment_state,arm_id,admitted_at,closed_at,close_kind
activation:9f016fc5-3781-4208-a4c0-7f680393aab0:0531c321-0c14-4d53-acc6-65c663549493:implement:2,9f016fc5-3781-4208-a4c0-7f680393aab0,0531c321-0c14-4d53-acc6-65c663549493,implement,2,implement,unassigned,,2026-09-23T23:40:53.468Z,2026-09-24T00:06:30.778Z,done
activation:9383060a-f410-404d-b725-f7919d50e9ff:435650e5-e248-4844-9b3a-98033fd0b779:implement:1,9383060a-f410-404d-b725-f7919d50e9ff,435650e5-e248-4844-9b3a-98033fd0b779,implement,1,implement,unassigned,,2026-09-23T23:45:59.103Z,2026-09-24T00:29:51.130Z,done
activation:rework:e71ef1c61d001dba361bb5ce3c062d489f5cf167d6ee633fa35f1a9f1c0280cc,bcd45ccb-0b8a-468f-82c0-7a2750d8fe5a,0531c321-0c14-4d53-acc6-65c663549493,qa,2,qa,unassigned,,2026-09-24T00:06:30.885Z,2026-09-24T00:20:19.397Z,done
activation:02ee6a8f-f886-40bc-a94a-d8d4cce71a29:435650e5-e248-4844-9b3a-98033fd0b779:qa:1,02ee6a8f-f886-40bc-a94a-d8d4cce71a29,435650e5-e248-4844-9b3a-98033fd0b779,qa,1,qa,unassigned,,2026-09-24T00:29:51.776Z,2026-09-24T00:48:23.361Z,done
activation:rework:977c3d6ee8dbaeeab2787312407580b1c81d40627c4ffa3659d84356238c37b1,9383060a-f410-404d-b725-f7919d50e9ff,435650e5-e248-4844-9b3a-98033fd0b779,implement,2,implement,unassigned,,2026-09-24T00:48:24.055Z,2026-09-24T01:17:11.677Z,done
activation:ff2c6da1-f32f-45c9-84b0-a0d76da7976c:0531c321-0c14-4d53-acc6-65c663549493:implement:3,ff2c6da1-f32f-45c9-84b0-a0d76da7976c,0531c321-0c14-4d53-acc6-65c663549493,implement,3,implement,unassigned,,2026-09-24T01:07:02.342Z,2026-09-24T01:08:14.025Z,replaced
activation:53b70cf9-1762-4803-8cce-f6f608e90e7c:b0c98033-2293-49b5-9a68-e5e3cebb1edf:eng_design:1,53b70cf9-1762-4803-8cce-f6f608e90e7c,b0c98033-2293-49b5-9a68-e5e3cebb1edf,eng_design,1,design,assigned,A,2026-09-24T01:09:36.273Z,2026-09-24T01:10:52.286Z,replaced
activation:baa2afce-dd5b-4516-90a2-59d3031377bb:b0c98033-2293-49b5-9a68-e5e3cebb1edf:eng_design:1,baa2afce-dd5b-4516-90a2-59d3031377bb,b0c98033-2293-49b5-9a68-e5e3cebb1edf,eng_design,1,design,assigned,A,2026-09-24T01:10:52.333Z,,
activation:222ec7ae-dd07-41c4-8acf-82534a1fdbc9:0531c321-0c14-4d53-acc6-65c663549493:implement:3,222ec7ae-dd07-41c4-8acf-82534a1fdbc9,0531c321-0c14-4d53-acc6-65c663549493,implement,3,implement,unassigned,,2026-09-24T01:11:47.408Z,2026-09-24T01:13:14.668Z,replaced
activation:5da4c8de-3795-4edc-ad14-329c38e09ba6:5e30bab3-ff65-40b8-89b5-ce547e5f76a2:implement:1,5da4c8de-3795-4edc-ad14-329c38e09ba6,5e30bab3-ff65-40b8-89b5-ce547e5f76a2,implement,1,implement,unassigned,,2026-09-24T01:14:47.462Z,2026-09-24T02:47:43.429Z,done
