execution_id,vendor,session,coverage,error
9f016fc5-3781-4208-a4c0-7f680393aab0,codex,8a9d95a4e485,complete,False
02ee6a8f-f886-40bc-a94a-d8d4cce71a29,claude,f9519b578877,complete,False
ff2c6da1-f32f-45c9-84b0-a0d76da7976c,codex,4c07eae106bd,complete,False
53b70cf9-1762-4803-8cce-f6f608e90e7c,codex,8097f8e1b8b8,complete,False
baa2afce-dd5b-4516-90a2-59d3031377bb,codex,d585f5968e59,complete,False
222ec7ae-dd07-41c4-8acf-82534a1fdbc9,codex,0c45ab0ce7dd,complete,False
5da4c8de-3795-4edc-ad14-329c38e09ba6,claude,747e41db0811,complete,False
f371e87f-260f-4f3f-9473-dfd974e26517,claude,91b2e85d6928,open,False
35832f7a-6ce0-4068-a489-2e2ed9d66dca,claude,6d4913ed8d10,open,False
aef24ecc-59d4-4292-936e-71a6cf5c21f9,claude,63e77f2de32a,open,False
4c124904-81ac-40e8-977a-f5dac79f0684,codex,853be7e814a3,complete,False
9383060a-f410-404d-b725-f7919d50e9ff,codex,40d7413e0f16,complete,False
60fc7481-4291-4a35-85ac-bb4e2d8562e6,claude,e62600b5ca85,open,False
59aae6a0-db27-4ea6-948e-ffe7d76c88c7,claude,da25658db4fc,open,False
8773168c-be01-4687-8813-68e4566a346e,codex,f97adf9229a6,complete,False
1fa9d31e-4304-4fc2-bb3c-55ade07fadb1,claude,06d6d052fa00,open,False
81840c5c-5052-4a32-a443-213d9f1d5df2,claude,ea2ed08d63a3,complete,False
45e987fa-8d8f-410e-b1c1-0df5d9ccd650,claude,9c688848e488,complete,False
1acfc193-ac77-4816-b8cb-0b9fd1283898,claude,e205dbd9f3ee,complete,False
78b25b52-09dc-4133-ac63-1bc7b059e74f,claude,77e1f86c746c,complete,False
92f80de7-baa5-472c-ac50-7439fac30875,claude,df0421d1f2a4,complete,False
ec0fcf8a-4ef5-4290-9646-e90d724ed544,claude,1e7bddc80d51,complete,False
b224d252-30d2-4d13-b597-9663ea25de43,codex,25fc1d591209,complete,False
5c7d61d2-6881-4818-9b0a-94a81896e6bc,claude,07d1e5f9aa04,complete,False
705d34cd-74cd-47b5-9c6e-9a37e5979cc1,claude,f6bdf50f65c3,complete,False
6520c919-ded0-46e6-bfa5-76bba81770c6,codex,505ad9d0de4c,complete,False
036130e1-1ce8-4b76-9720-df3999675349,claude,17197a54e368,complete,False
645a3383-2ccc-435d-90bf-ddeb5d6ac9eb,codex,457268fcb3fc,complete,False
837d6e85-f52b-4d23-93f7-67a9f15fcf44,codex,0aff6d6fe50e,complete,False
b977f664-01a7-46b8-8ad9-0951adf06d6c,codex,64330af397b9,complete,False
8ae14ad9-f743-4ec1-a49c-0961c95fbd1c,claude,0130199f00db,complete,False
517d3de4-1f33-473f-bb1a-e7ae3c24efc6,claude,5dca310cc553,complete,False
748f3c9e-91c6-4fcf-b9d0-075935fdb430,codex,e23747637054,complete,False
c40e2bd1-7e20-460a-bea3-7ac79a2a3efd,claude,42bb63b5784d,complete,False
c3ec4a52-f4b7-4f4b-a01f-0a6599652af3,codex,4257a5b7a593,complete,False
22829243-b6bb-4160-87f6-306e21d0c49a,claude,feed20995290,complete,False
7646d901-e2b0-4745-8a68-459034aa0411,claude,d51a0f0a67fc,complete,False
45c8187a-0cee-43a3-8574-24c626a53a1e,codex,caede16e3fd3,complete,False
d524fd8f-b210-43a0-a735-ea543afc90ed,claude,12a8b8f37529,complete,False
85e04f61-9ec9-4a90-ac0d-650908d58e8e,codex,0f25bf01c539,complete,False
