execution_id,vendor,usage_rows,normalized_delta
00b1a84a-2e53-4523-a2c0-9d4f4f918070,codex,375,46588889
00c725fa-4d09-40f5-b990-c2ea4360781c,codex,283,45634807
02ee6a8f-f886-40bc-a94a-d8d4cce71a29,claude,273,34600736
036130e1-1ce8-4b76-9720-df3999675349,claude,288,39573188
083704b6-1447-436d-97d5-48d6a57fd840,codex,109,13057642
0b64f42a-7cb1-48b2-8e92-e53b935b951d,codex,124,17849519
0ba846a7-e0f4-4498-be2b-3da6c67afaff,claude,166,15895792
0c7fb517-3464-4f6a-b48c-669385e70d1b,codex,717,89797183
106ba2ad-3289-4206-a17c-51be204e5492,claude,275,26764536
151082ac-0f23-4444-9c9c-ac401b8fd8a9,codex,959,152290552
19f46728-230f-432d-bddc-f5a6fe3c1f9e,claude,164,14861203
1acfc193-ac77-4816-b8cb-0b9fd1283898,claude,604,81555135
1c909675-224d-44de-84c3-c88a38ff6f16,claude,192,23638003
1fa9d31e-4304-4fc2-bb3c-55ade07fadb1,claude,101,6538856
2244de24-a3c9-428a-a1de-730166921809,claude,279,29293817
22829243-b6bb-4160-87f6-306e21d0c49a,claude,265,35287107
244670e3-55b1-4b3a-9289-099ee9c4088f,claude,313,44109705
259c0890-b9ff-4496-8d22-c1169951fab7,claude,203,18475915
25d8197c-5ab1-497e-b5d0-09b64389b45a,codex,165,23345682
26a28bdf-2657-4f53-b5f8-9222c70d3aea,claude,166,14521777
281a8688-32b0-477d-a611-cf4efb10f054,claude,77,5511546
2d21a735-9f81-4cff-bd5c-d3932a513a6c,claude,327,32723037
2d64aa78-0e92-430f-85f9-d865fbdba287,claude,157,10522325
2d7e1ab6-6452-4790-8bfa-ea31b75e1d17,claude,1237,281957684
2f108ce3-004d-4cb6-89cf-6e5b839b80fe,claude,416,65160529
2fa01a56-3f35-4615-b022-0ab0294f6e45,codex,62,5762349
345c96d6-bf98-4584-bdd0-4173caf5e50f,claude,425,75307108
35832f7a-6ce0-4068-a489-2e2ed9d66dca,claude,248,28295223
36768957-7faf-479a-aeb6-74e85fd17ea7,claude,175,15011645
36a6a83f-5fca-4683-832c-ccdbc13d707b,claude,499,77332268
3803460a-5275-4153-afaf-a5c051987b72,claude,80,5711400
3b75f34a-aef5-4c42-8483-083711ad43bc,claude,54,2952338
3e987c63-56f9-438e-911d-c52280d01003,claude,19,992125
3f862011-3aeb-4137-8648-0b3f9d27f551,claude,360,45824053
40235e26-7a25-4c19-9788-df11a59183b0,claude,224,25890711
41ec9e44-a13b-4e9a-84ef-a4b4efbfbc4e,codex,677,106517406
45c8187a-0cee-43a3-8574-24c626a53a1e,codex,590,84286625
45e987fa-8d8f-410e-b1c1-0df5d9ccd650,claude,350,56029990
4676812d-4f83-4e9b-a812-c7d549e42fb3,claude,323,31908200
46e91f56-77c1-41a5-801b-8bfab774428d,codex,88,11413401
4a6e76d0-023d-48fd-9a73-774c1ae47382,claude,513,78643737
4c124904-81ac-40e8-977a-f5dac79f0684,codex,80,8514887
4c42005e-4f87-4b3e-8345-10d03826be3a,claude,32,1425473
