vendor,class_key,label,refs,non_fault,incidents,issues,batches,never_took_over,recovered,waste_hours,held_wait_hours,rearm_delay_hours,median_waste_hours,open,open_hours,q1_dead_body_tokens,q2_successor_first_turn_tokens,q3_post_terminal_tokens,q1_week_pct_p25_p50_p75,q3_week_pct_p25_p50_p75,subclasses
claude,K1,账号额度墙 usageLimited,FLY-2371 · FLY-2521 · FLY-2572 · FLY-2729,0,2,2,2,0,2,19.74,0.0,0.0,19.73,0,0,38815895,0,0,,,operator_after_quota:2
claude,K6,worktree 接管失败,FLY-2510 · FLY-2463,0,5,5,4,5,5,12.33,11.87,0.0,0.54,0,0,0,74291949,0,,,clean=false:5
claude,K8,宿主子进程 / git 异常,FLY-2617 · 新类(GitResultChecker),0,2,2,2,1,1,3.49,3.41,0.0,3.49,1,269.3,4939936,0,0,,,child_stdio_250ms:2
claude,K0,非故障换体(land 冲突再激活),—,1,14,10,11,0,13,3.07,0.0,0.0,0.01,1,2.4,723141724,17634977,0,,,land_conflict_reactivation:11; operator_scope_or_cleanup:3
claude,K12,运维收掉(无其他信号),按原文,0,4,4,4,0,4,2.3,0.0,0.0,0.55,0,0,243668511,0,0,,,rework_wake_exhausted_FLY-2821:4
claude,K5,重启后 reown 失败,FLY-2586 · FLY-2505 · FLY-2558 · FLY-2352 · FLY-2462,0,1,1,1,0,1,1.24,0.0,0.0,1.24,0,0,46517204,0,0,,,operator_after_reown:1
claude,K11,无错误原文的判死,FLY-2537 · FLY-2512 · FLY-2618,0,6,5,4,0,6,0.05,0.0,0.0,0.01,0,0,312989224,0,0,,,terminal_session_and_dead_probe:3; actor_session_terminal:failed:2; actor_session_terminal:completed:1
claude,K13,终态后复活 / 自续,FLY-2814 · FLY-2572,0,5,5,5,0,0,0,0,0,0,0,0,133986077,0,9832691,,,post_terminal_tokens:5
codex,K1,账号额度墙 usageLimited,FLY-2371 · FLY-2521 · FLY-2572 · FLY-2729,0,234,71,30,140,223,207.83,185.91,39.15,0.09,5,642.5,4481041098,1055367528,36080324,221.9/415.6/440.2,1.8/3.3/3.5,usage_limit:232; operator_after_quota:2
codex,K6,worktree 接管失败,FLY-2510 · FLY-2463,0,40,30,24,40,40,137.8,133.35,0.0,1.47,0,0,0,1060893477,0,0.0/0.0/0.0,0.0/0.0/0.0,clean=false:39; head_mismatch:1
codex,K3,Codex 凭据 / 账号身份,FLY-2750(已修) · FLY-2404 · FLY-1896,0,27,23,6,27,26,77.36,72.53,0.0,1.24,1,168.9,0,412526815,0,0.0/0.0/0.0,0.0/0.0/0.0,auth_json_missing:16; unknown_identity:6; refresh_token:5
codex,K5,重启后 reown 失败,FLY-2586 · FLY-2505 · FLY-2558 · FLY-2352 · FLY-2462,0,64,48,44,0,63,56.4,10.14,0.0,0.03,0,0,3977524683,791821043,0,197.0/368.9/390.8,0.0/0.0/0.0,reown:64
codex,K9,体自报 blocked(三轮核验),FLY-2344 · FLY-2507 · 新类,0,28,21,24,0,20,18.82,17.08,0.0,0.03,1,65.1,1018762263,41985308,36030351,50.4/94.5/100.1,1.8/3.3/3.5,lead_freeze_or_scope_wait:11; other:6; ci_billing:4; dependency_pr:2; no_turn_or_registration:2; infra_529:2; waiting_engine_hold:1
codex,K0,非故障换体(land 冲突再激活),—,1,43,31,37,1,42,7.23,0.0,0.0,0.02,1,64.9,1719708003,614048884,0,85.2/159.5/168.9,0.0/0.0/0.0,land_conflict_reactivation:39; operator_scope_or_cleanup:4
codex,K8,宿主子进程 / git 异常,FLY-2617 · 新类(GitResultChecker),0,17,13,13,12,14,5.76,2.09,0.0,0.29,0,0,127536857,204137618,0,6.3/11.8/12.5,0.0/0.0/0.0,child_stdio_250ms:17
codex,K2,上游模型满载 serverOverloaded,FLY-2630,0,15,14,11,0,14,1.57,1.32,0.0,0.02,0,0,1083790041,193784799,0,53.7/100.5/106.5,0.0/0.0/0.0,model_capacity:15
codex,K12,运维收掉(无其他信号),按原文,0,16,14,15,4,16,0.9,0.0,0.0,0.03,0,0,669702602,164158518,241401834,33.2/62.1/65.8,12.0/22.4/23.7,completion_deadlock_FLY-2373:12; dead_knot_FLY-2329:2; other:2
codex,K11,无错误原文的判死,FLY-2537 · FLY-2512 · FLY-2618,0,7,7,6,0,7,0.5,0.0,0.0,0.02,0,0,428530284,29531600,872572989,21.2/39.7/42.1,43.2/80.9/85.7,actor_session_terminal:failed:3; terminal_session_and_dead_probe:2; persisted_target_missing_and_dead_probe:1; actor_session_terminal:completed:1
codex,K7,agent home lease 缺失,FLY-2689,0,4,4,4,4,4,0.18,0.0,0.0,0.03,0,0,0,67310816,0,0.0/0.0/0.0,0.0/0.0/0.0,lease_missing:4
codex,K10,停驻超时 resident_hold_expired,FLY-2477 · FLY-2710,0,5,5,5,0,5,0.08,0.0,0.0,0.02,0,0,315165851,27429476,0,15.6/29.2/31.0,0.0/0.0/0.0,resident_hold_expired:5
codex,K13,终态后复活 / 自续,FLY-2814 · FLY-2572,0,19,16,17,0,0,0,0,0,0,0,0,250092637,0,20960030,12.4/23.2/24.6,1.0/1.9/2.1,post_terminal_tokens:19
codex,K4,cyber 400,FLY-2743,0,1,1,1,0,1,0.0,0.0,0.0,0.0,0,0,6520403,0,0,0.3/0.6/0.6,0.0/0.0/0.0,cyber_400:1
